         337545 function calls (333626 primitive calls) in 1.927 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      228    0.001    0.000    0.004    0.000 <frozen ntpath>:107(join)
      102    0.001    0.000    0.089    0.001 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:751(format_col)
     1483    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\config.py:617(_select_options)
      106    0.001    0.000    0.013    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexing.py:1033(_getitem_lowerdim)
     1858    0.001    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:745(<genexpr>)
       70    0.001    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\strings\accessor.py:207(_validate)
      373    0.001    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\blocks.py:2667(get_block_type)
       70    0.001    0.000    0.006    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\strings\accessor.py:188(__init__)
     1086    0.001    0.000    0.014    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\config.py:273(__call__)
     1368    0.001    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\common.py:1255(is_1d_only_ea_dtype)
      209    0.001    0.000    0.001    0.000 C:\Program Files\Python311\Lib\asyncio\base_events.py:425(create_future)
      212    0.001    0.000    0.003    0.000 C:\Program Files\Python311\Lib\asyncio\base_events.py:429(create_task)
     2363    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
       70    0.001    0.000    0.016    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\strings\accessor.py:255(_wrap_result)
      887    0.001    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\base.py:7592(ensure_index)
     1526    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      164    0.001    0.000    0.004    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:1862(from_array)
      118    0.001    0.000    0.032    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexing.py:1177(__getitem__)
      209    0.001    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\inference.py:404(is_dataclass)
      209    0.001    0.000    0.001    0.000 {built-in method _csv.reader}
      209    0.001    0.000    0.003    0.000 {built-in method _heapq.heappop}
      209    0.001    0.000    0.002    0.000 C:\Program Files\Python311\Lib\asyncio\events.py:103(__init__)
     1094    0.001    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\config.py:688(_warn_if_deprecated)
     3702    0.001    0.000    0.001    0.000 {method 'rjust' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {method 'connect' of '_socket.socket' objects}
       44    0.001    0.000    0.006    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\printing.py:31(adjoin)
        2    0.001    0.000    0.038    0.019 c:\Users\arshdeep.singh\Downloads\python_adv\Async_Cprofiling_CSV.py:18(process_files)
